Serial Number,Word,Meaning
1,abstract," A summary or an overview of a longer text, or the process of summarizing something. Also, it refers to art that doesn't attempt to represent reality, focusing instead on shapes and colors."
2,accelerate, To increase speed or rate; to speed up.
3,accuracy, The state of being correct or precise.
4,adaptation," The process of changing to fit a new environment or different conditions, or the result of this process."
5,advocate," To publicly support or recommend a particular cause or policy. Also, a person who advocates for something."
6,analysis," Detailed examination of the elements or structure of something, typically as a basis for discussion or interpretation."
7,annotate, To add notes of explanation to a text or diagram.
8,anticipate, To expect or predict something.
9,application, The action of putting something into operation. Also refers to software designed to fulfill a particular purpose.
10,approximate," Close to the actual, but not completely accurate or exact."
11,arbitrate," To settle a dispute or a difference, typically by an authoritative figure or a third party."
12,articulate," Having or showing the ability to speak fluently and coherently. Also, to express an idea or feeling fluently and coherently."
13,assimilate," To absorb and integrate (people, ideas, or culture) into a wider society or culture."
14,assumption," A thing that is accepted as true or as certain to happen, without proof."
15,atmosphere," The envelope of gases surrounding the earth or another planet. Also, the mood or feeling in a situation or place."
16,attribute, A quality or feature regarded as a characteristic or inherent part of someone or something.
17,biodiversity, The variety of life in the world or in a particular habitat or ecosystem.
18,biome," A large naturally occurring community of flora and fauna occupying a major habitat, e.g., forest or tundra."
19,biosphere," The regions of the surface, atmosphere, and hydrosphere of the earth (or analogous parts of other planets) occupied by living organisms."
20,capacity," The maximum amount that something can contain or produce. Also, the ability or power to do, experience, or understand something."
21,carbohydrate," A biological molecule consisting of carbon, hydrogen, and oxygen atoms, usually with a hydrogen:oxygen atom ratio of 2:1; the sugars, starches, and fibers found in fruits, grains, vegetables, and milk products."
22,catalyst," A substance that increases the rate of a chemical reaction without itself undergoing any permanent chemical change. Also, a person or thing that precipitates an event."
23,categorize, To place in a particular class or group.
24,cause," A person or thing that gives rise to an action, phenomenon, or condition."
25,character," The mental and moral qualities distinctive to an individual. Also, a person in a novel, play, or movie."
26,chronological, (Of a record of events) starting with the earliest and following the order in which they occurred.
27,citation," A quotation from or reference to a book, paper, or author, especially in a scholarly work."
28,civilisation, The stage of human social development and organization that is considered most advanced.
29,clarify, To make (a statement or situation) less confused and more clearly comprehensible.
30,classify, To arrange (a group of people or things) in classes or categories according to shared qualities or characteristics.
31,climate, The weather conditions prevailing in an area in general or over a long period.
32,collaborate," To work jointly on an activity, especially to produce or create something."
33,combustion, The process of burning something.
34,commentary, An expression of opinions or offering of explanations about an event or situation.
35,communicate," To share or exchange information, news, or ideas."
36,comparison, The act or instance of comparing.
37,compile," To collect (data, books, or materials) and assemble them in a detailed list or report."
38,component, A part or element of a larger whole.
39,composition," The nature of something's ingredients or constituents; the way in which a whole or mixture is made up. Also refers to a work of music, literature, or art."
40,compound," A thing that is composed of two or more separate elements; a mixture. Also, to make something worse or more intense."
41,comprehensive, Complete; including all or nearly all elements or aspects of something.
42,conclude," Bring (something) to an end. Also, to arrive at a judgment or opinion by reasoning."
43,concurrent," Existing, happening, or done at the same time."
44,condensation, The conversion of a vapor or gas to a liquid.
45,conductive, Having the property of conducting something (especially heat or electricity).
46,confirm," Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)."
47,conflict," A serious disagreement or argument, typically a protracted one."
48,connotation, An idea or feeling that a word invokes in addition to its literal or primary meaning.
49,conservation," The action of conserving something, in particular. Preservation, protection, or restoration of the natural environment and of wildlife."
50,consistency," Conformity in the application of something, typically that which is necessary for the sake of logic, accuracy, or fairness."
51,constant, Occurring continuously over a period of time. A situation or state of affairs that does not change.
52,constitute, To be (a part) of a whole.
53,construct," To build or make (something, typically a building, road, or machine)."
54,consult, To seek information or advice from (someone with expertise in a particular area).
55,consume," To use up (a resource or space). Also, to eat or drink."
56,context," The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed."
57,contrast," The state of being strikingly different from something else, typically something in juxtaposition or close association."
58,contribute," To give (something, especially money) in order to help achieve or provide something."
59,controversy," Disagreement, typically when prolonged, public, and heated."
60,convene, To come or bring together for a meeting or activity; assemble.
61,convert," To change the form, character, or function of something."
62,coordinate, To bring the different elements of (a complex activity or organization) into a relationship that will ensure efficiency or harmony.
63,core, The central or most important part of something.
64,correlation, A mutual relationship or connection between two or more things.
65,credible, Able to be believed; convincing.
66,criterion, A principle or standard by which something may be judged or decided.
67,critique," A detailed analysis and assessment of something, especially a literary, philosophical, or political theory."
68,culture," The arts and other manifestations of human intellectual achievement regarded collectively. Also, the customs, arts, social institutions, and achievements of a particular nation, people, or other social group."
69,cumulative," Increasing or increased in quantity, degree, or force by successive additions."
70,curriculum, The subjects comprising a course of study in a school or college.
71,data, Facts and statistics collected together for reference or analysis.
72,debate," A formal discussion on a particular topic in a public meeting or legislative assembly, in which opposing arguments are put forward."
73,decibel, A unit used to measure the intensity of a sound or the power level of an electrical signal by comparing it with a given level on a logarithmic scale.
74,decompose," To break down or decay, transforming into a different state or breaking into smaller parts."
75,deduce, To arrive at (a fact or a conclusion) by reasoning; draw as a logical conclusion.
76,define," To state or describe exactly the nature, scope, or meaning of."
77,demonstrate, To clearly show the existence or truth of (something) by giving proof or evidence.
78,density, The degree of compactness of a substance. 
79,depict, To represent or show (someone or something) in a picture or story.
80,derive, To obtain something from (a specified source).
81,describe, To give a detailed account in words of.
82,design," To decide upon the look and functioning of (a building, garment, or other object), typically by making a detailed drawing of it."
83,detail," An individual feature, fact, or item."
84,determine, To cause (something) to occur in a particular way; be the decisive factor in.
85,develop," Grow or cause to grow and become more mature, advanced, or elaborate."
86,device," A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment."
87,diagram," A simplified drawing showing the appearance, structure, or workings of something; a schematic representation."
88,dialect, A particular form of a language that is peculiar to a specific region or social group.
89,differentiate, To recognize or ascertain what makes (someone or something) different.
90,diffusion, The spreading of something more widely.
91,dimension," A measurable extent of some kind, such as length, breadth, depth, or height."
92,direct, To control the operation of; manage or govern.
93,discipline," The practice of training people to obey rules or a code of behavior, using punishment to correct disobedience."
94,discovery, The action or process of discovering or being discovered.
95,discriminate, To recognize a distinction; differentiate.
96,discuss, To talk about (something) with another person or group of people.
97,disease," A disorder of structure or function in a human, animal, or plant, especially one that produces specific signs or symptoms."
98,displace," To take over the place, position, or role of (someone or something)."
99,display, To make a prominent exhibition of (something) in a place where it can be easily seen.
100,dissect," To cut up (a body, part, or plant) to study its internal parts; also used figuratively to mean analyze something in detail."
101,distinguish, To recognize or treat (someone or something) as different.
102,distribute, To give out shares of something; to scatter or spread over an area.
103,diversity," The state of being diverse; variety, especially in terms of people's backgrounds, qualities, or cultures."
104,domain," An area of territory owned or controlled by a ruler or government; in computing, it refers to a distinct subset of the Internet with a common address."
105,dominate, To have a commanding influence over; to rule over.
106,draft, A preliminary version of a piece of writing; to draw up a preliminary version of a document or plan.
107,drama," A play for theatre, radio, or television; an exciting, emotional, or unexpected series of events or set of circumstances."
108,dynamic," Characterized by constant change, activity, or progress."
109,ecosystem, A biological community of interacting organisms and their physical environment.
110,edit," To prepare (written material) for publication by correcting, condensing, or otherwise modifying it."
111,effect, A change that is a result or consequence of an action or other cause.
112,efficient, Being effective without wasting time or effort or expense.
113,elaborate, Involving many carefully arranged parts or details; detailed and complicated in design and planning.
114,element," A part or aspect of something abstract, especially one that is essential or characteristic."
115,eliminate, To completely remove or get rid of (something).
116,emerge," To become apparent, important, or prominent."
117,emphasis," Special importance, value, or prominence given to something."
118,empirical," Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic."
119,enable, To give (someone or something) the authority or means to do something.
120,encounter, To unexpectedly experience or be faced with (something difficult or hostile).
121,energy, The strength and vitality required for sustained physical or mental activity; power derived from the utilization of physical or chemical resources.
122,enforce," To compel observance of or compliance with (a law, rule, or obligation)."
123,enhance," To intensify, increase, or further improve the quality, value, or extent of."
124,ensure, To make certain that (something) shall occur or be the case.
125,environment," The surroundings or conditions in which a person, animal, or plant lives or operates."
126,enzyme, A substance produced by a living organism that acts as a catalyst to bring about a specific biochemical reaction.
127,equilibrium, A state in which opposing forces or influences are balanced.
128,equivalent," Equal in value, amount, function, meaning, etc."
129,error, A mistake.
130,establish," To set up (an organization, system, or set of rules) on a firm or permanent basis."
131,evaluate," To form an idea of the amount, number, or value of; assess."
132,evidence, The available body of facts or information indicating whether a belief or proposition is true or valid.
133,evolve," To develop gradually, especially from a simple to a more complex form."
134,examine, To inspect or scrutinize carefully.
135,example, A thing characteristic of its kind or illustrating a general rule.
136,exceed," To be greater in number or size than (a quantity, number, or other measurable thing)."
137,exclude," To deny (someone) access to or bar (someone) from a place, group, or privilege."
138,execute," To carry out or put into effect (a plan, order, or course of action)."
139,exercise," Activity requiring physical effort, carried out to sustain or improve health and fitness; to use or apply (a faculty, right, or process)."
140,exhibit, To publicly display (a work of art or item of interest) in an art gallery or museum or at a trade fair.
141,expand, To increase in size or amount.
142,expectation, A strong belief that something will happen or be the case in the future.
143,experiment," A scientific procedure undertaken to make a discovery, test a hypothesis, or demonstrate a known fact."
144,explain," To make (an idea, situation, or problem) clear"
145,explicit," Stated clearly and in detail, leaving no room for confusion or doubt."
146,explore, To travel through (an unfamiliar area) in order to learn about it; to inquire into or discuss (a subject) in detail.
147,expose," To make (something) visible, typically by uncovering it; to reveal the true, objectionable nature of someone or something."
148,express, To convey (a thought or feeling) in words or by gestures and conduct.
149,extend, To cause (something) to cover a larger area; make longer or wider.
150,external, Belonging to or forming the outer surface or structure of something.
151,extract," To remove or take out, especially by effort or force."
152,facilitate, To make (an action or process) easy or easier.
153,factor," A circumstance, fact, or influence that contributes to a result or outcome."
154,feature, A distinctive attribute or aspect of something.
155,feedback," Information about reactions to a product, a person's performance of a task, etc., used as a basis for improvement."
156,figure," A number, especially one that forms part of official statistics or relates to the financial performance of a company."
157,finite, Having limits or bounds.
158,fluctuate, To rise and fall irregularly in number or amount.
159,focus, The center of interest or activity; to pay particular attention to.
160,force, Strength or energy as an attribute of physical action or movement; to make someone do something against their will.
161,forecast, To predict or estimate (a future event or trend).
162,form, The visible shape or configuration of something; to create or arrange something in a particular way.
163,formula," An established form of words or symbols for use in a ceremony or procedure; an exact list of ingredients for something, especially a mixture."
164,function, An activity or purpose natural to or intended for a person or thing.
165,fundamental, Forming a necessary base or core; of central importance.
166,generate," To cause (something, especially an emotion or situation) to arise or come about."
167,genre," A category of artistic composition, as in music or literature, characterized by similarities in form, style, or subject matter."
168,global, Relating to the whole world; worldwide.
169,graph," A diagram showing the relation between variable quantities, typically of two variables, each measured along one of a pair of axes at right angles."
170,habitat," The natural home or environment of an animal, plant, or other organism."
171,hypothesize, To put (something) forward as a hypothesis.
172,identify, To establish or indicate who or what (someone or something) is.
173,ideology," A system of ideas and ideals, especially one that forms the basis of economic or political theory and policy."
174,illustrate," To provide (a book, newspaper, etc.) with pictures; to explain or make (something) clear by using examples, charts, pictures, etc."
175,impact, The action of one object coming forcibly into contact with another; a marked effect or influence.
176,implement," To put (a decision, plan, agreement, etc.) into effect."
177,imply," To suggest or show something, without stating it directly."
178,import," To bring (goods or services) into a country from abroad for sale; the meaning or significance of something, especially when not directly stated."
179,impose, To forcibly place upon.
180,improve, To make or become better.
181,include, To comprise or contain as part of a whole.
182,income," Money received, especially on a regular basis, for work or through investments."
183,increase," To become or make greater in size, amount, intensity, or degree."
184,indicate, To point out or show.
185,individual," A single human being as distinct from a group, class, or family."
186,infer, To deduce or conclude (information) from evidence and reasoning rather than from explicit statements.
187,influence," The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself."
188,inform, To give (someone) facts or information; to tell.
189,inherent," Existing in something as a permanent, essential, or characteristic attribute."
190,initiate," To begin, set going, or originate."
191,innovate," To make changes in something established, especially by introducing new methods, ideas, or products."
192,input," What is put in, taken in, or operated on by any process or system."
193,inquire, To ask for information from someone.
194,insight, The capacity to gain an accurate and deep intuitive understanding of a person or thing.
195,install, To place or fix (equipment or machinery) in position ready for use.
196,instance, An example or single occurrence of something.
197,integrate, To combine (one thing) with another so that they become a whole.
198,integrity, The quality of being honest and having strong moral principles; moral uprightness.
199,intelligence, The ability to acquire and apply knowledge and skills.
200,intense," Of extreme force, degree, or strength."
201,interact, To communicate or work together with someone or something else.
202,interest," The feeling of wanting to know or learn about something or someone; also, a charge for borrowed money."
203,interpret," To explain the meaning of information, words, or actions."
204,intervene," To come between disputing people, groups, etc., to help them reach an agreement; to occur in time between events."
205,intrinsic, Belonging naturally; essential.
206,invent, To create or design something that has never existed before.
207,investigate," To carry out a systematic or formal inquiry to discover and examine the facts of an incident, allegation, etc., to establish the truth."
208,involve, To include or affect someone or something.
209,isolate," To separate from another substance so as to obtain pure or in a free state; also, to set apart from others."
210,issue," An important topic or problem for debate or discussion; also, to supply or distribute something."
211,journal, A daily record of news and events of a personal nature; a diary.
212,justify, To show or prove to be right or reasonable.
213,kinetic, Relating to or resulting from motion.
214,label," A small piece of paper, fabric, plastic, or similar material attached to an object and giving information about it."
215,labor," Work, especially hard physical work; the process of childbirth."
216,layer," A sheet, quantity, or thickness of material, typically one of several, covering a surface or body."
217,lecture," An educational talk to an audience, especially one of students in a university."
218,legal, Relating to the law.
219,legislate, To make or enact laws.
220,legitimate, Conforming to the law or to rules; able to be defended with logic or justification.
221,leverage, The exertion of force by means of a lever; the power to influence a person or situation.
222,license," A permit from an authority to own or use something, do a particular thing, or carry on a trade."
223,limitation, A restriction; a condition of limited ability or capacity.
224,literature," Written works, especially those considered of superior or lasting artistic merit."
225,locate, To discover the exact place or position of.
226,logic, Reasoning conducted or assessed according to strict principles of validity.
227,maintain, To cause or enable a condition or state of affairs to continue.
228,major," Very large or important; also, a student's principal course of study in college."
229,manipulate, To handle or control in a skillful manner; to control or influence a person or situation cleverly or unscrupulously.
230,mass," A coherent, typically large body of matter with no definite shape; also, the celebration of the Eucharist in the Catholic Church."
231,material, The matter from which a thing is or can be made; relevant and significant information.
232,mechanism, A system of parts working together in a machine; a piece of machinery.
233,media," The main means of mass communication (broadcasting, publishing, and the Internet) regarded collectively."
234,mediate, To intervene between people in a dispute to bring about an agreement or reconciliation.
235,medium, A means by which something is communicated or expressed; the intervening substance through which impressions are conveyed to the senses.
236,method," A particular form of procedure for accomplishing or approaching something, especially a systematic or established one."
237,migrate," To move from one region or habitat to another, especially regularly according to the seasons."
238,minimize," To reduce (something, especially something unwanted or unpleasant) to the smallest possible amount or degree."
239,minority," The smaller number or part, especially a number or part representing less than half of the whole."
240,mode," A way or manner in which something occurs or is experienced, expressed, or done."
241,modify," To make partial or minor changes to (something), typically to improve it or to make it less extreme."
242,molecule," The smallest physical unit of an element or compound, consisting of one or more like atoms in an element and two or more different atoms in a compound."
243,monitor, To observe and check the progress
244,motive," A reason for doing something, especially one that is hidden or not obvious."
245,narrative, A spoken or written account of connected events; a story.
246,nature," The phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth, as opposed to humans or human creations."
247,negotiate, To try to reach an agreement or compromise by discussion with others.
248,network, A group or system of interconnected people or things.
249,neutral," Not helping or supporting either side in a conflict, disagreement, etc.; impartial."
250,norm," A standard or pattern, especially of social behavior, that is typical or expected."
251,notion, A conception of or belief about something.
252,nuclear, Relating to the nucleus of an atom or to nuclear energy.
253,objective, A goal or aim to work toward; not influenced by personal feelings or opinions in considering and representing facts.
254,observe, To notice or perceive (something) and register it as being significant; to celebrate or acknowledge an event or tradition.
255,obtain," To get, acquire, or secure (something)."
256,occur, To happen or take place.
257,option, A thing that is or may be chosen.
258,orient, To align or position (something) relative to the points of a compass or other specified positions; to familiarize someone with new surroundings or circumstances.
259,origin," The point or place where something begins, arises, or is derived."
260,outcome, The way a thing turns out; a consequence.
261,output," The amount of something produced by a person, machine, or industry."
262,overall, Taking everything into account; in all.
263,overlap, To extend over and cover a part of; to have something in common with.
264,participate, To take part or become involved in an activity.
265,particle, A minute portion of matter.
266,partner," A person who takes part in an undertaking with another or others, especially in a business or company with shared risks and profits."
267,passive," Accepting or allowing what happens or what others do, without active response or resistance."
268,pattern, A repeated decorative design; a model or design used as a guide in needlework and other crafts.
269,perceive, To become aware or conscious of (something); to come to realize or understand.
270,percent, One part in every hundred.
271,period," A length or portion of time; also, a punctuation mark used at the end of a sentence or an abbreviation."
272,persist," To continue firmly or obstinately in an opinion or a course of action in spite of difficulty, opposition, or failure."
273,perspective, A particular attitude toward or way of regarding something; a point of view.
274,phase, A distinct period or stage in a process of change or forming part of something's development.
275,phenomenon," A fact or situation that is observed to exist or happen, especially one whose cause or explanation is in question."
276,philosophy," The study of the fundamental nature of knowledge, reality, and existence, especially when considered as an academic discipline."
277,physical, Relating to the body as opposed to the mind; relating to things perceived through the senses as opposed to the mind; tangible or concrete.
278,plus, With the addition of.
279,policy," A course or principle of action adopted or proposed by a government, party, business, or individual."
280,portion," A part of a whole; an amount, section, or piece of something."
281,position, A place where someone or something is located or has been put.
282,positive, Consisting in or characterized by the presence or possession of features or qualities rather than their absence.
283,potential, Having or showing the capacity to become or develop into something in the future.
284,practice," The actual application or use of an idea, belief, or method, as opposed to theories about such application or use."
285,precede, To come before (something) in time.
286,precise, Marked by exactness and accuracy of expression or detail.
287,predict, To say or estimate that (a specified thing) will happen in the future or will be a consequence of something.
288,prefer, To like (one thing or person) better than another or others; to tend to choose.
289,preliminary, Preceding or done in preparation for something fuller or more important.
290,premise, A previous statement or proposition from which another is inferred or follows as a conclusion.
291,prepare," To make ready or able beforehand for a particular purpose, use, or activity."
292,present, In a particular place; existing or occurring now.
293,preserve, To maintain (something) in its original or existing state.
294,press, To move or cause to move into a position of contact with something by exerting continuous physical force.
295,principle, A fundamental truth or proposition that serves as the foundation for a system of belief or behavior or for a chain of reasoning.
296,priority, The fact or condition of being regarded or treated as more important than others.
297,proceed, To begin or continue a course of action.
298,process, A series of actions or steps taken in order to achieve a particular end.
299,produce, To make or manufacture from components or raw materials.
300,professional, Relating to or connected with a profession; engaged in a specified activity as one's main paid occupation rather than as an amateur.